PID,SalePrice
0527127150,142144.02019728607
0527162130,99627.46259771034
0527163010,141437.73803889588
0527182190,168859.08760843842
0527216070,115401.04064787971
0527358140,103375.9258302253
0527402200,101688.96484314547
0527402250,111259.62510560824
0527425090,114846.03565344628
0528181050,121920.96270402335
0528218150,109277.14707371929
0528240070,101627.49732359943
0528250100,82512.70006708501
0528358010,105137.77847375681
0528382030,115526.12916005656
0528445060,99900.2650409181
0531367050,102815.98479988349
0531369060,110577.42582402617
0532351140,94433.61126368934
0532354090,150759.0058801489
0532376160,150804.40773519623
0532479070,168777.822317393
0533212060,132640.0140665017
0533221090,140590.6655204415
0533238045,122682.05357292629
0533244030,96750.41679171666
0533352170,133606.8954103928
0534152050,158580.704025627
0534152070,140110.7401780271
0534202160,88966.24047798738
0534251320,129078.84791175257
0534276360,135416.12804134394
0534425310,116756.97658708697
0534427010,150158.7424678065
0534431050,155671.28296815846
0534431070,159190.85008362448
0534479320,145416.02155619403
0535106190,86088.84689269982
0535152250,174112.7038464862
0535302080,131011.57890744081
0535350030,86974.2371809947
0535350040,126833.95882050775
0535454070,90308.1843037657
0535457090,100259.99384172293
0902102100,107287.55318277383
0902104060,103942.73947299426
0902110090,127019.47307726298
0902125080,110121.52672002486
0902206040,181048.59783817374
0902207140,169010.0419989466
0902402010,152755.2963620052
0902402250,125093.82014881037
0903206120,104017.88140120302
0903226160,122880.18994901558
0903425110,119423.7660615225
0903430080,135539.96244850184
0903450110,108730.59194473569
0903454060,109996.15240982296
0903476030,92968.37305463711
0904100140,106714.93718972088
0904302260,137969.83298421267
0904352190,133017.43289709973
0905105200,83427.66855954104
0905106140,105679.17996172632
0905109130,81611.27948965027
0905109170,141694.26310986557
0905325030,101570.30658562566
0905352140,113085.5442196914
0905451320,106350.81594579564
0905475510,93065.66935205318
0906201120,152024.9355145308
0906223090,132495.4863855201
0906380190,103766.042169533
0906385020,198004.33149213245
0906402200,135212.53165853332
0907200280,154908.7717012945
0907203070,138883.50274873138
